frame_number,timestamp,R,G,B,matched_log_timestamp
398,2025-02-03-16-24-55-272,0,151,0,2025-02-03-16-24-55-266
399,2025-02-03-16-24-55-289,0,160,0,2025-02-03-16-24-55-284
400,2025-02-03-16-24-55-306,0,169,0,2025-02-03-16-24-55-302
401,2025-02-03-16-24-55-322,0,178,0,2025-02-03-16-24-55-319
402,2025-02-03-16-24-55-339,0,187,0,2025-02-03-16-24-55-339
403,2025-02-03-16-24-55-356,0,196,0,2025-02-03-16-24-55-355
404,2025-02-03-16-24-55-373,0,205,0,2025-02-03-16-24-55-372
405,2025-02-03-16-24-55-389,0,214,0,2025-02-03-16-24-55-390
406,2025-02-03-16-24-55-406,0,223,0,2025-02-03-16-24-55-408
407,2025-02-03-16-24-55-423,0,232,0,2025-02-03-16-24-55-426
408,2025-02-03-16-24-55-439,0,241,0,2025-02-03-16-24-55-443
409,2025-02-03-16-24-55-456,0,250,0,2025-02-03-16-24-55-461
410,2025-02-03-16-24-55-473,0,251,0,2025-02-03-16-24-55-478
411,2025-02-03-16-24-55-490,0,242,0,2025-02-03-16-24-55-496
412,2025-02-03-16-24-55-506,0,233,0,2025-02-03-16-24-55-513
413,2025-02-03-16-24-55-523,0,224,0,2025-02-03-16-24-55-532
414,2025-02-03-16-24-55-540,0,224,0,2025-02-03-16-24-55-532
415,2025-02-03-16-24-55-556,0,215,0,2025-02-03-16-24-55-549
416,2025-02-03-16-24-55-573,0,206,0,2025-02-03-16-24-55-566
417,2025-02-03-16-24-55-590,0,198,0,2025-02-03-16-24-55-584
418,2025-02-03-16-24-55-606,0,189,0,2025-02-03-16-24-55-600
419,2025-02-03-16-24-55-623,0,180,0,2025-02-03-16-24-55-618
420,2025-02-03-16-24-55-640,0,171,0,2025-02-03-16-24-55-634
421,2025-02-03-16-24-55-657,0,162,0,2025-02-03-16-24-55-652
422,2025-02-03-16-24-55-673,0,153,0,2025-02-03-16-24-55-670
423,2025-02-03-16-24-55-690,0,144,0,2025-02-03-16-24-55-687
424,2025-02-03-16-24-55-707,0,135,0,2025-02-03-16-24-55-705
425,2025-02-03-16-24-55-723,0,126,0,2025-02-03-16-24-55-722
426,2025-02-03-16-24-55-740,0,117,0,2025-02-03-16-24-55-740
427,2025-02-03-16-24-55-757,0,108,0,2025-02-03-16-24-55-757
428,2025-02-03-16-24-55-774,0,99,0,2025-02-03-16-24-55-775
429,2025-02-03-16-24-55-790,0,91,0,2025-02-03-16-24-55-792
430,2025-02-03-16-24-55-807,0,81,0,2025-02-03-16-24-55-811
431,2025-02-03-16-24-55-824,0,73,0,2025-02-03-16-24-55-829
432,2025-02-03-16-24-55-840,0,63,0,2025-02-03-16-24-55-848
433,2025-02-03-16-24-55-857,0,55,0,2025-02-03-16-24-55-863
434,2025-02-03-16-24-55-874,0,46,0,2025-02-03-16-24-55-882
435,2025-02-03-16-24-55-890,0,46,0,2025-02-03-16-24-55-882
436,2025-02-03-16-24-55-907,0,37,0,2025-02-03-16-24-55-898
437,2025-02-03-16-24-55-924,0,28,0,2025-02-03-16-24-55-916
438,2025-02-03-16-24-55-941,0,19,0,2025-02-03-16-24-55-932
439,2025-02-03-16-24-55-957,0,10,0,2025-02-03-16-24-55-951
440,2025-02-03-16-24-55-974,0,1,0,2025-02-03-16-24-55-968
441,2025-02-03-16-24-55-991,0,8,0,2025-02-03-16-24-55-986
442,2025-02-03-16-24-56-007,0,17,0,2025-02-03-16-24-56-002
443,2025-02-03-16-24-56-024,0,26,0,2025-02-03-16-24-56-021
444,2025-02-03-16-24-56-041,0,35,0,2025-02-03-16-24-56-040
445,2025-02-03-16-24-56-058,0,43,0,2025-02-03-16-24-56-056
446,2025-02-03-16-24-56-074,0,52,0,2025-02-03-16-24-56-075
447,2025-02-03-16-24-56-091,0,61,0,2025-02-03-16-24-56-091
448,2025-02-03-16-24-56-108,0,70,0,2025-02-03-16-24-56-109
449,2025-02-03-16-24-56-124,0,79,0,2025-02-03-16-24-56-125
450,2025-02-03-16-24-56-141,0,88,0,2025-02-03-16-24-56-143
451,2025-02-03-16-24-56-158,0,97,0,2025-02-03-16-24-56-161
452,2025-02-03-16-24-56-174,0,106,0,2025-02-03-16-24-56-180
453,2025-02-03-16-24-56-191,0,115,0,2025-02-03-16-24-56-198
454,2025-02-03-16-24-56-208,0,124,0,2025-02-03-16-24-56-214
455,2025-02-03-16-24-56-225,0,133,0,2025-02-03-16-24-56-231
456,2025-02-03-16-24-56-241,0,142,0,2025-02-03-16-24-56-249
457,2025-02-03-16-24-56-258,0,151,0,2025-02-03-16-24-56-266
458,2025-02-03-16-24-56-275,0,151,0,2025-02-03-16-24-56-266
459,2025-02-03-16-24-56-291,0,160,0,2025-02-03-16-24-56-284
460,2025-02-03-16-24-56-308,0,169,0,2025-02-03-16-24-56-302
461,2025-02-03-16-24-56-325,0,178,0,2025-02-03-16-24-56-320
462,2025-02-03-16-24-56-342,0,187,0,2025-02-03-16-24-56-338
463,2025-02-03-16-24-56-358,0,196,0,2025-02-03-16-24-56-354
464,2025-02-03-16-24-56-375,0,205,0,2025-02-03-16-24-56-372
465,2025-02-03-16-24-56-392,0,214,0,2025-02-03-16-24-56-390
466,2025-02-03-16-24-56-408,0,223,0,2025-02-03-16-24-56-407
467,2025-02-03-16-24-56-425,0,232,0,2025-02-03-16-24-56-425
