timestamp,R,G,B,segment
2025-02-05-17-07-04-926,0,0,205,Triangle in blue
2025-02-05-17-07-04-944,0,0,215,Triangle in blue
2025-02-05-17-07-04-961,0,0,223,Triangle in blue
2025-02-05-17-07-04-979,0,0,232,Triangle in blue
2025-02-05-17-07-04-996,0,0,241,Triangle in blue
2025-02-05-17-07-05-014,0,0,250,Triangle in blue
2025-02-05-17-07-05-032,0,0,251,Triangle in blue
2025-02-05-17-07-05-049,0,0,242,Triangle in blue
2025-02-05-17-07-05-067,0,0,233,Triangle in blue
2025-02-05-17-07-05-084,0,0,224,Triangle in blue
2025-02-05-17-07-05-101,0,0,215,Triangle in blue
2025-02-05-17-07-05-119,0,0,206,Triangle in blue
2025-02-05-17-07-05-137,0,0,197,Triangle in blue
2025-02-05-17-07-05-154,0,0,188,Triangle in blue
2025-02-05-17-07-05-172,0,0,179,Triangle in blue
2025-02-05-17-07-05-190,0,0,170,Triangle in blue
2025-02-05-17-07-05-207,0,0,161,Triangle in blue
2025-02-05-17-07-05-225,0,0,152,Triangle in blue
2025-02-05-17-07-05-242,0,0,144,Triangle in blue
2025-02-05-17-07-05-260,0,0,134,Triangle in blue
2025-02-05-17-07-05-277,0,0,125,Triangle in blue
2025-02-05-17-07-05-296,0,0,116,Triangle in blue
2025-02-05-17-07-05-313,0,0,107,Triangle in blue
2025-02-05-17-07-05-331,0,0,98,Triangle in blue
2025-02-05-17-07-05-348,0,0,89,Triangle in blue
2025-02-05-17-07-05-365,0,0,81,Triangle in blue
2025-02-05-17-07-05-383,0,0,72,Triangle in blue
2025-02-05-17-07-05-400,0,0,63,Triangle in blue
2025-02-05-17-07-05-418,0,0,54,Triangle in blue
2025-02-05-17-07-05-435,0,0,45,Triangle in blue
2025-02-05-17-07-05-453,0,0,36,Triangle in blue
2025-02-05-17-07-05-471,0,0,27,Triangle in blue
2025-02-05-17-07-05-489,0,0,18,Triangle in blue
2025-02-05-17-07-05-506,0,0,9,Triangle in blue
2025-02-05-17-07-05-523,0,0,0,Triangle in blue
2025-02-05-17-07-05-541,0,0,9,Triangle in blue
2025-02-05-17-07-05-557,0,0,17,Triangle in blue
2025-02-05-17-07-05-575,0,0,27,Triangle in blue
2025-02-05-17-07-05-593,0,0,36,Triangle in blue
2025-02-05-17-07-05-611,0,0,45,Triangle in blue
2025-02-05-17-07-05-628,0,0,54,Triangle in blue
2025-02-05-17-07-05-646,0,0,63,Triangle in blue
2025-02-05-17-07-05-663,0,0,72,Triangle in blue
2025-02-05-17-07-05-681,0,0,80,Triangle in blue
2025-02-05-17-07-05-698,0,0,89,Triangle in blue
2025-02-05-17-07-05-716,0,0,98,Triangle in blue
2025-02-05-17-07-05-734,0,0,107,Triangle in blue
2025-02-05-17-07-05-751,0,0,116,Triangle in blue
2025-02-05-17-07-05-769,0,0,125,Triangle in blue
2025-02-05-17-07-05-787,0,0,134,Triangle in blue
2025-02-05-17-07-05-804,0,0,143,Triangle in blue
2025-02-05-17-07-05-822,0,0,152,Triangle in blue
2025-02-05-17-07-05-839,0,0,161,Triangle in blue
2025-02-05-17-07-05-858,0,0,170,Triangle in blue
2025-02-05-17-07-05-874,0,0,179,Triangle in blue
2025-02-05-17-07-05-892,0,0,188,Triangle in blue
2025-02-05-17-07-05-909,0,0,197,Triangle in blue
2025-02-05-17-07-05-928,0,0,206,Triangle in blue
2025-02-05-17-07-05-945,0,0,215,Triangle in blue
2025-02-05-17-07-05-962,0,0,224,Triangle in blue
2025-02-05-17-07-05-980,0,0,233,Triangle in blue
2025-02-05-17-07-05-997,0,0,242,Triangle in blue
2025-02-05-17-07-06-015,0,0,251,Triangle in blue
2025-02-05-17-07-06-032,0,0,250,Triangle in blue
2025-02-05-17-07-06-050,0,0,241,Triangle in blue
2025-02-05-17-07-06-067,0,0,232,Triangle in blue
2025-02-05-17-07-06-086,0,0,223,Triangle in blue
2025-02-05-17-07-06-104,0,0,214,Triangle in blue
2025-02-05-17-07-06-121,0,0,205,Triangle in blue
2025-02-05-17-07-06-138,0,0,196,Triangle in blue
2025-02-05-17-07-06-156,0,0,187,Triangle in blue
2025-02-05-17-07-06-174,0,0,178,Triangle in blue
2025-02-05-17-07-06-191,0,0,170,Triangle in blue
2025-02-05-17-07-06-208,0,0,161,Triangle in blue
2025-02-05-17-07-06-226,0,0,152,Triangle in blue
2025-02-05-17-07-06-243,0,0,143,Triangle in blue
2025-02-05-17-07-06-260,0,0,134,Triangle in blue
2025-02-05-17-07-06-277,0,0,125,Triangle in blue
2025-02-05-17-07-06-295,0,0,116,Triangle in blue
2025-02-05-17-07-06-312,0,0,108,Triangle in blue
2025-02-05-17-07-06-329,0,0,99,Triangle in blue
2025-02-05-17-07-06-347,0,0,90,Triangle in blue
2025-02-05-17-07-06-365,0,0,81,Triangle in blue
