Frame Index,Value,Change Type
829,7.0,
830,9.0,
831,132.0,up
832,190.0,
833,190.0,
834,188.0,
835,190.0,
836,188.0,
837,188.0,
838,140.0,
839,9.0,down
840,9.0,
841,9.0,
842,9.0,
843,110.0,up
844,188.0,
845,188.0,
846,188.0,
847,188.0,
848,188.0,
849,188.0,
850,151.0,
851,7.0,down
852,9.0,
853,9.0,
854,9.0,
855,9.0,
856,195.0,up
857,188.0,
858,188.0,
859,188.0,
860,188.0,
861,187.0,
862,176.0,
863,7.0,down
864,7.0,
865,7.0,
866,7.0,
867,7.0,
868,7.0,
869,7.0,
870,7.0,
871,7.0,
872,9.0,
873,9.0,
874,9.0,
875,195.0,up
876,190.0,
877,190.0,
878,190.0,
879,190.0,
880,92.0,down
881,9.0,
882,9.0,
883,9.0,
884,9.0,
885,9.0,
886,99.0,up
887,192.0,
888,192.0,
889,192.0,
890,190.0,
891,190.0,
892,84.0,down
893,9.0,
894,9.0,
895,9.0,
896,9.0,
897,9.0,
898,9.0,
899,180.0,up
900,192.0,
901,190.0,
902,190.0,
903,190.0,
904,132.0,down
905,9.0,
906,9.0,
907,7.0,
908,9.0,
909,9.0,
910,9.0,
911,181.0,up
912,193.0,
913,193.0,
914,193.0,
915,193.0,
916,137.0,down
917,9.0,
918,9.0,
919,9.0,
920,9.0,
921,7.0,
922,7.0,
923,7.0,
924,7.0,
925,9.0,
926,10.0,
927,10.0,
928,187.0,up
929,193.0,
930,193.0,
931,195.0,
932,193.0,
933,193.0,
934,193.0,
935,135.0,down
936,9.0,
937,9.0,
938,9.0,
939,9.0,
940,122.0,up
941,192.0,
942,192.0,
943,192.0,
944,192.0,
945,193.0,
946,193.0,
947,176.0,
948,5.0,down
949,9.0,
950,9.0,
951,9.0,
952,9.0,
953,185.0,up
954,193.0,
955,193.0,
956,193.0,
957,193.0,
958,193.0,
959,163.0,
960,9.0,down
961,9.0,
962,9.0,
963,9.0,
964,72.0,up
965,195.0,
966,193.0,
967,193.0,
968,192.0,
969,192.0,
970,192.0,
971,192.0,
972,17.0,down
973,9.0,
974,9.0,
975,7.0,
976,7.0,
977,7.0,
978,7.0,
979,7.0,
980,7.0,
981,9.0,
982,9.0,
983,9.0,
984,193.0,up
985,192.0,
986,192.0,
987,192.0,
988,190.0,
989,110.0,down
990,9.0,
991,9.0,
992,9.0,
993,9.0,
994,9.0,
995,9.0,
996,173.0,up
997,190.0,
998,190.0,
999,192.0,
1000,192.0,
1001,142.0,
1002,9.0,down
1003,9.0,
1004,9.0,
1005,9.0,
1006,9.0,
1007,9.0,
1008,181.0,up
1009,188.0,
1010,188.0,
1011,188.0,
1012,188.0,
1013,115.0,down
1014,9.0,
1015,9.0,
1016,9.0,
1017,9.0,
1018,9.0,
1019,9.0,
1020,161.0,up
1021,190.0,
1022,190.0,
1023,190.0,
1024,190.0,
1025,145.0,
1026,9.0,down
1027,9.0,
1028,9.0,
1029,9.0,
1030,7.0,
1031,7.0,
1032,7.0,
1033,7.0,
1034,7.0,
1035,9.0,
1036,9.0,
1037,173.0,up
1038,192.0,
1039,190.0,
1040,190.0,
1041,190.0,
1042,190.0,
1043,190.0,
1044,166.0,
1045,9.0,down
1046,9.0,
1047,9.0,
1048,9.0,
1049,9.0,
1050,188.0,up
1051,190.0,
1052,190.0,
1053,190.0,
1054,188.0,
1055,188.0,
1056,127.0,down
1057,9.0,
1058,9.0,
1059,9.0,
1060,9.0,
1061,135.0,up
1062,192.0,
1063,192.0,
1064,190.0,
1065,190.0,
1066,190.0,
1067,188.0,
1068,173.0,
1069,3.0,down
1070,9.0,
1071,7.0,
1072,9.0,
1073,9.0,
1074,178.0,up
1075,190.0,
1076,190.0,
1077,192.0,
1078,190.0,
1079,190.0,
1080,190.0,
1081,190.0,
1082,10.0,down
1083,9.0,
1084,7.0,
1085,7.0,
1086,7.0,
1087,7.0,
1088,7.0,
1089,7.0,
1090,9.0,
1091,9.0,
1092,9.0,
1093,195.0,up
1094,192.0,
1095,192.0,
1096,190.0,
1097,190.0,
1098,118.0,down
1099,9.0,
